1413229044,2014-10-13 12:37:24,35.26242029,-120.67770298,353918054312018,7508110439, 
1413229406,2014-10-13 12:43:26,35.26241035,-120.67771867,353918054312018,7508110439,362,102.28026
1414161638,2014-10-24 07:40:38,34.24908566,-119.25633798,353918054312018,1391942339,932232,9343695.19255
1414163299,2014-10-24 08:08:19,34.24997814,-119.25596776,353918054312018,1391942344,1661,3150.95488
1414163636,2014-10-24 08:13:56,34.25016632,-119.25586965,353918054312018,1391942345,337,764.89679
1414163923,2014-10-24 08:18:43,34.25031848,-119.25580155,353918054312018,1391942346,287,561.39656
1414164233,2014-10-24 08:23:53,34.25047745,-119.25572028,353918054312018,1391942347,310,637.78180
1414164623,2014-10-24 08:30:23,34.25065163,-119.25566693,353918054312018,1391942348,390,530.61042
1414164869,2014-10-24 08:34:29,34.25087521,-119.25555603,353918054312018,1391942349,246,879.44839
1414165089,2014-10-24 08:38:09,34.25104083,-119.2554718,353918054312018,1391942351,220,662.17302
1414165337,2014-10-24 08:42:17,34.25124121,-119.25539614,353918054312018,1391942352,248,672.48006
1414165577,2014-10-24 08:46:17,34.25140925,-119.25533648,353918054312018,1391942353,240,546.85901
1414165785,2014-10-24 08:49:45,34.25151808,-119.25528642,353918054312018,1391942354,208,408.22382
1414168670,2014-10-24 09:37:50,34.25095129,-119.25657942,353918054312018,1391942360,2885,8352.61080
1414170369,2014-10-24 10:06:09,34.2498879,-119.25704691,353918054312018,1391942366,1699,3881.88999
1414172129,2014-10-24 10:35:29,34.24885875,-119.25740217,353918054312018,1391942371,1760,3304.90097
1414173827,2014-10-24 11:03:47,34.25108431,-119.25730768,353918054312018,1391942375,1698,5237.23199
1414174296,2014-10-24 11:11:36,34.25046225,-119.25791612,353918054312018,1391942376,469,4144.14373
1414247283,2014-10-25 07:28:03,34.24869262,-119.25557847,353918054312018,1391942381,72987,15473.01834
1414250112,2014-10-25 08:15:12,34.24731377,-119.25531495,353918054312018,1391942383,2829,3635.58423
1414251078,2014-10-25 08:31:18,34.24736269,-119.25467277,353918054312018,1391942384,966,4097.48505
1414251717,2014-10-25 08:41:57,34.24710361,-119.25472071,353918054312018,1391942387,639,678.56401
1414508943,2014-10-28 08:09:03,34.24745273,-119.25541981,353918054312018,1546391137,257226,4533.03308
1414510486,2014-10-28 08:34:46,34.24731049,-119.25474461,353918054312018,1546391141,1543,4319.31580
1414511815,2014-10-28 08:56:55,34.24743052,-119.25469439,353918054312018,1546391142,1329,425.86278
1414513596,2014-10-28 09:26:36,34.24799145,-119.25442928,353918054312018,1546391146,1781,2139.89034
1414514003,2014-10-28 09:33:23,34.24827689,-119.2543078,353918054312018,1546391148,407,1022.58909
1414514396,2014-10-28 09:39:56,34.24833592,-119.25427348,353918054312018,1546391150,393,258.76993
1414514760,2014-10-28 09:46:00,34.24857316,-119.2541717,353918054312018,1546391151,364,853.83976
1414515099,2014-10-28 09:51:39,34.24875313,-119.25409691,353918054312018,1546391152,339,636.05982
1414516619,2014-10-28 10:16:59,34.24950387,-119.25376947,353918054312018,1546391157,1520,2727.96781
1414517027,2014-10-28 10:23:47,34.24963222,-119.25369369,353918054312018,1546391158,408,568.88863
1414517029,2014-10-28 10:23:49,34.24963223,-119.25369367,353918054312018,1546391158,2,0.12969
1414518668,2014-10-28 10:51:08,34.25031108,-119.25340939,353918054312018,1546391162,1639,2409.50867
1414519038,2014-10-28 10:57:18,34.25048025,-119.25333935,353918054312018,1546391163,370,596.59813
1414519414,2014-10-28 11:03:34,34.25058613,-119.25327231,353918054312018,1546391164,376,494.04793
1414519416,2014-10-28 11:03:36,34.25058626,-119.25327231,353918054312018,1546391164,2,0.30387
1414521655,2014-10-28 11:40:55,34.25040843,-119.25504829,353918054312018,1419491390,2239,11335.00233
1414523824,2014-10-28 12:17:04,34.25084327,-119.25417622,353918054312018,1546391170,2169,5654.25623
1414524666,2014-10-28 12:31:06,34.2505821,-119.25429298,353918054312018,1546391172,842,962.94296
1414525102,2014-10-28 12:38:22,34.25039178,-119.2543714,353918054312018,1546391173,436,669.38728
1414526807,2014-10-28 13:06:47,34.24974669,-119.25465979,353918054312018,1546391178,1705,2378.48825
1414528350,2014-10-28 13:32:30,34.2490362,-119.2549784,353918054312018,1546391183,1543,2624.53537
1414528739,2014-10-28 13:38:59,34.24896061,-119.25501768,353918054312018,1546391184,389,306.58411
1414529096,2014-10-28 13:44:56,34.24884686,-119.25507663,353918054312018,1546391185,357,460.52602
1414530984,2014-10-28 14:16:24,34.24839831,-119.25524766,353918054312018,1546391188,1888,1513.14676
1414531355,2014-10-28 14:22:35,34.24826261,-119.25530542,353918054312018,1546391189,371,486.17867
1414532819,2014-10-28 14:46:59,34.24786692,-119.25548391,353918054312018,1546391193,1464,1466.92067
1414533207,2014-10-28 14:53:27,34.2477997,-119.25552365,353918054312018,1546391194,388,298.23628
1414533554,2014-10-28 14:59:14,34.24772702,-119.25554874,353918054312018,1546391195,347,233.41891
